"zReHs href","LC20lb","XNo5Ab src","VuuXrf","qLRx3b","ylgVCe","LAWljd","dEEN8c href","dEEN8c","YrbPuc","YrbPuc 2","VwiC3b","VwiC3b 2","VwiC3b 3","TXwUJf","TXwUJf 2","TXwUJf 3","TXwUJf href"
"https://www.mdmverlag.com/osteoporose-rheuma-aktuell/dxa-body-compostion-analyse-knochen-zu-muskelmasse-bmclean-ratio-bei-osteoporose/","zu Muskelmasse / BMC:LEAN Ratio bei Osteoporose","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAAAbFBMVEUAOnAAN3AAOG8/YoohS3sAMWzm7PF9kqwAM20ALGkAL2sALmoAJGZshaO+ytfg5u2arMDW3udceJr///+ks8bM1d93jqrFz9qxv8+PormFmbLz9viPorgAGmIAGGEAJmZngJ8AKWhUcZUMRHfIDn3jAAAAwklEQVR4AeXJRWLEMAwAQMUsYxzmRNn/v7HMdG67tnjgT7+CfW+Mi4/6ukul5dubQbTOoTMAznmlLaJDe3e7txBjKsuUK2nuaq1NbHLb9WkoANxYT2PdhlZ5Xesw66LuQ67HqQ4S3KJWr6atqk2M667u8Fi7mbbU4D2SU8t+1kU/kHxACnXh8xPiI8YfMf6ATfb0FZZ3CHo+q/kdyimjzBOe6nLJdVKBqQqPVFBfOgCDjDkDxV0jS2QYFlAQgDVwLe8WQBwSdX+j8f4AAAAASUVORK5CYII=","mdm MedienDiensteMedizin Verlagsgesellschaft mbH","https://www.mdmverlag.com","› dx...","·","https://www.mdmverlag.com/osteoporose-rheuma-aktuell/dxa-body-compostion-analyse-knochen-zu-muskelmasse-bmclean-ratio-bei-osteoporose/","Traduire cette page","—","16 janv. 2023","Erfasst wurden die T-scores der - Messungen von LWS/1, Schenkelhals (NECK/2), Gesamthüfte (HIP/3) und des Gesamtkörpers (Whole- = WB/4).","DXA","Body","","","",""
"https://profheinen.de/diagnostik/koerperzusammensetzung/die-dual-energy-xray-absortiometry/","Die Dual-Energy-Xray-Absortiomety (DEXA)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAAAPFBMVEVHcEwFBwcDBQcBAgIBAgICBAQCAwMBAgEBAgEBAgIBAwIBAgIBAgEGBwgCAwMEBQYCBAMBAgEBAgECAgIJFw7DAAAAFHRSTlMABi6fulxt9//Ve+SvDoodOO3KSiulqwwAAAC1SURBVHgBfJEFggQgCEUt4GPH/c+63SuD7VPS/RDvnSkhJjIhC9SEGUgmpAIyoc9Sm0m7IFpsJABp2lDWvtMWgZILXZAPrMDKShfGu3aF1DoukHi0Cmi8ReNfRgdK5Wa6u3g0K/MQNkqWIILob6VtHSVvpHnOod7D74/6Ej/J0rK0Vo2/QiKJzbUI0X7GmPn4X8njl2XQbO9W28849g7OkqnsTMlpPPgYLeSp1mPBRrO555EIAD4vBvoxiyrZAAAAAElFTkSuQmCC","profheinen.de","https://profheinen.de","› diagnostik","·","https://profheinen.de/diagnostik/koerperzusammensetzung/die-dual-energy-xray-absortiometry/","Traduire cette page","","","Wiederfindung von Fett und Fettfreier Masse bei -Messungen: Erfahren Sie, wie genau die Ergebnisse mit verschiedenen Geräten sind.","DEXA","","","","",""
"https://www.ayun.ch/de-ch/insights/understanding-visceral-fat-dexa-scan-and-body-fat","Viszerales Fett verstehen: Mit DEXA-Scans Körperfett ...","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAAAXVBMVEXo7u7r8fHx9/fb4eHu9PS+wsJDREMjISDCxsYcGhg5OTg8PDtJSkkfHRy3u7uxtbUhIB6coKCkqKiOkZGQk5OWmZkzMjHP1NQuLSyprawqKSjKz880NDN7fX11d3dSKuSMAAAAzUlEQVR4AY3RiQ6DIAwG4IGVKlW8b7f3f8xZGyVbmsQ/h6YfBVJeT2NsklijG6QO0WWg9qW5J/J5pvVad9ihhVUwQTqDyXN8sK3JSsby70ImBC5AVRPVAbhS3Uugka1shRjkz7VwYYeN1LpevgMON/ajdJhpMmwBx4jtKGdx2GqaF3PfcyXWaLRujKIzXSrmfRw/dOOhyHoazYOgZCbWFOA0v/8+pUxn2rQp2ZY79vdn59MXGyVq4TRjvZ5MTFXp01VMVzFdm1ZMDcDrcb6s9Qx9dMS/DwAAAABJRU5ErkJggg==","ayun.ch","https://www.ayun.ch","› insights","·","https://www.ayun.ch/de-ch/insights/understanding-visceral-fat-dexa-scan-and-body-fat","Traduire cette page","","","‍. Diese detaillierte Analyse geht weit über die Aussagekraft ...","DEXA-Scans liefern präzise Daten zur Verteilung von Knochen-, Muskel- und Fettgewebe im Körper","","‎| Afficher les résultats avec :","Termes manquants :","composition","https://www.google.com/search?sa=N&sca_esv=8ed7b9c9fed93e72&rlz=1C1VDKB_deDE994DE994&biw=1536&bih=730&sxsrf=ANbL-n7Val88xQQDYXXcGiz-jABWcMylkA:1770809281924&q=dexa+body+%22composition%22+deutschland&ved=2ahUKEwi-7NrRqtGSAxWLRvEDHeHnGbI4FBDm3gJ6BAglEAE"
"https://www.springermedizin.de/body-composition-analysis-using-dexa-scan-and-its-correlation-wi/50577598","Body Composition Analysis Using DEXA-Scan and its ...","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAAAhFBMVEX////3+fvk5+sAAEKNm62suMYAADkmRmtFXHs+V3ewvMjI0NnY3uRoe5NugJeFlKYAJVYAH1IAM1+irrzS2N84UHGOnq9OZIGZprbn6+8AAEp3iZ8aOmK9xs/z8/UZO2Jab4kAD00ALlsAKlqVnaz74dP4z7n0rIDtbgDtcwDsZwDsYQB/HBaXAAAA4ElEQVR4AazNBXbEIABF0RdPgLi7td3/Duucoa4X189/sGzH5QOeH4SRkIr3qChO0iwvSou3qlpVboNsnZLX7KIDWwFlpnipH0bFs3KaeaEZyxQtdF8+LJToH8Z4eYzHFJXPyYEFsJpP3Q1QEsTGg/ESgSwEIPZ2OwQPxAhaJmLoV68fw+fb64LWhdVmbR3zavOoKhbQxn2aA+aj0jktF5bcolKeFc/mkJfUKdHEYfHC1hkxHS9Yq3G5rjA12bBOqzZkVy8eLi9ZfNf1zUuY7qauoYkMtFAltTSQgTaFyRwAMYEVH2kY1TkAAAAASUVORK5CYII=","springermedizin.de","https://www.springermedizin.de","› ...","·","https://www.springermedizin.de/body-composition-analysis-using-dexa-scan-and-its-correlation-wi/50577598","Traduire cette page","","","Mit medbee Pocketcards schnell und sicher entscheiden. Leitlinien-Wissen kostenlos und immer griffbereit auf ihrem Desktop, Handy oder Tablet.","","","","","",""
"https://www.hautteam.de/koerperanalyse-inbody-770","Körperanalyse Inbody 770","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAAAWlBMVEX////+/v77+/tuZmBfVlKXk5KsqaVtZGLw8O1kW1ZmXVtZUUxLQDqOiYSmop9cUk5YTUlLPjdTSkVNRD7Sz852cGxza2hMQj2EfXqHgn7s6+vg393c2diUjookad6OAAAAjklEQVR4Ac2RxQGAMADEcK+77T8m7vCHoL3UG/2OOEmSePmd/qbixhilWb7WK7KyqtK6WSnHqO3AKmGHqgqTrqOUdh2hY4TYIbMq4SMlE9PnIecfqfQaPWV8lqayM7l6SorbBUxfJFVMTdAXybTzEy6op3xO6FuJu6fsNinr/chquUhdb/WXU90O+4j+yAAnAA1EEpI96wAAAABJRU5ErkJggg==","Hautteam Bochum","https://www.hautteam.de","› koerpe...","·","https://www.hautteam.de/koerperanalyse-inbody-770","Traduire cette page","","","Mit dem InBody 770 bieten wir eine umfassende und präzise Analyse deiner Körperzusammensetzung. Wir beraten dich gern.","","","","","",""
"https://www.kup.at/kup/pdf/9764.pdf","Body Composition: Dual-Röntgen-Absorptiometrie (DEXA)","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIABwAHAMBEQACEQEDEQH/xAAaAAACAgMAAAAAAAAAAAAAAAABBAIDAAUH/8QAKBAAAgECBQQBBQEAAAAAAAAAAQIDABEEEiExQSIyYbGhI1FxkfAF/8QAGgEAAgMBAQAAAAAAAAAAAAAAAwQAAgUBB//EACsRAAEDAwIEBAcAAAAAAAAAAAEAAgMRITEEQRJRcaEFYYHwExQiscHR8f/aAAwDAQACEQMRAD8A6jjXePCyPELuB0jzXmuijZJqGskwcok7nNjJblLrjipC2DrY9d97c7c08fDeIFxPCeXKt6Z2wgfM0tnz981ZBinlnMRjAsOqx7d7evmgajRMih+IHdMXxXeu/Y+SvHO57+EhN1nplAgHcVASMKJLGiJJIMyIFLdZyjt+37I91qaF0r2SUJJpa5zz60Bv6bpScMa5tQKVv0/v7TaxRqQyxoCL6hRzvWe6aRwo5xI6nbCZDGg1AU6GrLWjFSxSspIOeQgZjfL1EA/jQ6eq2jo4pYw4W4WitBn6QT63F+xSAmex1Dud9r0/GEBipDlRo45CD3Hi+x+audFGKva4trsO/wBrV7qCd1gQCif9CYKfpqSFBJF+dtN/FcHhcHFd5AqeW2b4877KHVPpj2e6aws0k6uzKFs5UaH+3vWfq4IoHNa01qK+/ShvdMQyPkBJG6uKId1U8ailRI9uCUYtByFhRbg5RptpU43YqpwjkoTQRzIVddPFEh1MsLuNhVXxNeKEIQ4eOEEIDZjc3Ndm1UsxBecCi4yFjBQL/9k=","Krause und Pachernegg","https://www.kup.at","› kup › pdf","","","","—","de MP Pandey","ist schnell und präzise, stellt verlässliche Werte für die. Messung des gesamten Körpers sowie für einzelne Teilbereiche.","DEXA","","","","",""
"https://www.hochschulsport.fu-berlin.de/en/sportprogramm/UniFit/Bodycheck/index.html","Bodycheck - body analysis - Zentraleinrichtung Hochschulsport","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAAAV1BMVEXM/wDN/wDQ/wDO/wDD9AGawAObwgOmzwKw3AEAAARFVwTS/wADAwROYQNCUgS66QHV/wA7SQQkLQQnMAQHCAQdJAF0kANrhgNiewOgyAKCowOVuwJngAMwwCkWAAAAhElEQVR4AcXSAxaFQABA0WG2tf9t5vGEo7r/x5cLvAKRDKuNUEegrlKx58uCUIuR4MeW6DOJGf2UMNCMBMMTMKPY4aO4AtnByOv1g7woN5VRIYRZ6R9EFLLaEjFarVPUtLsulFo/DMO41/AAhHASL8kQtr54Sf/Hh6vFHhUfo1nFZ/zeAoIGCnaEV/hlAAAAAElFTkSuQmCC","Freie Universität Berlin","https://www.hochschulsport.fu-berlin.de","› ...","·","https://www.hochschulsport.fu-berlin.de/en/sportprogramm/UniFit/Bodycheck/index.html","Traduire cette page","","","Have you ever wanted to know how much body fat and muscle mass your body consists of? Then have your  analysed with the help of our Tanita scale ...","body composition","","‎| Afficher les résultats avec :","Termes manquants :","deutschland","https://www.google.com/search?sa=N&sca_esv=8ed7b9c9fed93e72&rlz=1C1VDKB_deDE994DE994&biw=1536&bih=730&sxsrf=ANbL-n7Val88xQQDYXXcGiz-jABWcMylkA:1770809281924&q=dexa+body+composition+%22deutschland%22&ved=2ahUKEwi-7NrRqtGSAxWLRvEDHeHnGbI4FBDm3gJ6BAg6EAE"
"https://de.inbody.com/produkte/","Produkte - Body Composition Analyzers","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAMAAABEpIrGAAAAS1BMVEVHcEyXGy+XGy+XGy+XGy+XGy+XGy+XGy+UFCiYGzCXGy+QDSGaND+wZGz58PKNARSEAAHu297////VrLGhRE7fvsO9gojJlZvlys7WqnqvAAAAC3RSTlMAFlCWxOLv////I7iRRFMAAAFTSURBVHgBhZMFgoQwDEXxtlNPLfe/6AoTUmTl4+RRokPXOM3Lum3rMk/j8NQ4r4K1zg9kJpOU+0WJ+WJ+LWKX0sZoJXYtr5P9WF1b56ynh+31sIsQAVwQd2IRJBUSQApKkJbuH3ngvbXaayZ2T8f+fS7xSyX3NcbTAspXIDVPhPpaYuQIDLCyJmAdh4l/UADdbkbAcLydegqzi+YNZIQs2c2le1DFGzAWmqfXy7D2FHgR4UvOBFeOQNZhYxdKsG4HbEh4ANsJaK1FAAextXYCjih9AxsQsEDU3QexciGUNF4jpAZRaiMVl2MWh6TyCK0BaiWF4FROossXaBXQi66JU01ArVAIoFTTPxiwHaCOGE9AAnsFRm4YBrJLDFBr93KE6ox2LXhFhbg2rW+IrhSH2PSjrclFEvpuPw+OySRzHxzyVGqSJP+ew6t2fQ8vf/7v+H8CWA8h3xmWyzYAAAAASUVORK5CYII=","Inbody Deutschland","https://de.inbody.com","› produkte","·","https://de.inbody.com/produkte/","Traduire cette page","","","Wählen Sie die InBody  Analyzers, die am besten zu Ihrem Unternehmen passt. Alle Modelle liefern genaue und präzise Messungen.","Body Composition","","","","",""
"https://dexascan.com/products/frankfurt-germany-dexa-scan-partner?srsltid=AfmBOorySQMMTH5EOsPnn8mJAVOKVhjzEyL4NTidr5tTAZpypRbX4MJx","Frankfurt, Germany - DEXA Scan Partner","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAAALVBMVEVHcEznlEXokkHnkkDmlUnmk0QtLzDonFEqKyvklUkjKCznk0Lmk0Pol0rmk0IdKJNvAAAAD3RSTlMAXfP+Q3wQFC41IdecJLlxG+8sAAAAuklEQVQokdWQC7aFIAhFBSRS1PkP94KfFs7gvWOlsAGDlP6cBFw5OLLZReY5EyHay5uBGSYtEyJ4ONPobtrublmpC/re7Nu1xTsPTIyWUo61IcGJYod8Qd1QhlWUNnKkXeJBPtP1Pr6eaus1o1Z3ua86TOZ9qj2pOnwXNO+cUD/tx9sySPzbcrXIlGOfcLUIGKE07THTR/JBJm+/fGXGurNl4IaTWQg25qa0yhRFk/KuKaxIOK4J/w/9AAk2BQ4ROxbPAAAAAElFTkSuQmCC","DEXA SCAN NEAR ME","https://dexascan.com","› products","·","https://dexascan.com/products/frankfurt-germany-dexa-scan-partner","Traduire cette page","","","A  (Dual-Energy X-ray Absorptiometry) scan is a non-invasive imaging test that precisely measures , including bone density, fat distribution ...","DEXA","body composition","","","",""
"https://hormone-nbg.de/ubergewicht/","Übergewicht - Praxis für Endokrinologie","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAABBVBMVEX+/v7////7/v7u+v3J8vSK5elY3eI82d9F3uNc4+eK6+6+9Pbk+vzZ+Ppt4ucP1NwKx9Kp8PMLyNQAtsILxdKV6/MAuMdqwsqX1NmA0NU2v8kKw9OZ4OcJwdNk2+dL1+UazeC97/gIvNNd2utH0OUIutRw2uoAyOSP4/JHxt4Ht9QHtdRGvNCi5fIApsKe0tx/2esAm7hA0Oo4wuAGstRcu81yzueu3+wAtdsFrtVzvM7N7vgFq9VRtdE/pL8OmL5ptMt/2fMEqdXT5+xDvuAEptUDpNYntOADotY7qtAAj8mr1eW25fgCn9YAls5kx+wBndYAnNeFyumSw9hVocIAh8OnzN6NZ4nhAAABsElEQVR4AUTOAxbEMBAA0AbrYGvbuP/54tdfd+h5AMhTgha4uRjCj+fr9Xp/vj8CgWeDCgCU8b/B+dsnpsLmkI+LSQFnxFbqy+dhGEZOEDDV0gXjJM3yIilLF1aNJaAgIp+wKq06IXYh3YA2bYNB3NVakrqZSq/+dj3qhloeQ4JsUNWhsR6kCTWDJtPuSjrNyoCW2Vg3aIOE9vshnReZDmvH/UZFU2SR4CAQRFHo2mZOMO4SwZ3B3f3+R0kBsdf2ZdeF5f73F7vt3/bAsH/cYYsKz/7nkwfqVdiKK7/wIDEgL/qgsKK6p3hV0zS0mqYKG5rsFVQapxuCqskUXmdMEV7VvfJvWfqdjBZLzVyxLUcH11SVV0Ux5m4uvRVb9wmA63lmIMuqiUnIUG64YDsEFFkOwiu2TxnRgu0TNw6jG5KUUBAnMyltxFFyS5bjJxTlTEoXUYkk5YkqBSyhbsqmSTZG1DQlqpWqype/NeK2bZsO6raqMjuaDaqeLMMmRYJBUhRdVA153iJZ1sM6FWyjLMuqHnzfp6GrxtGe4DJPgkk2+PQCGP0E5DrsuV79TYYcAUc1amm2CIhcAAAAAElFTkSuQmCC","hormone-nbg.de","https://hormone-nbg.de","› uberge...","·","https://hormone-nbg.de/ubergewicht/","Traduire cette page","—","7 mars 2014","Auf dem Bild links sieht man die Grafik, die bei der Messung der Körperzusammensetzung („“) entsteht. Diese Meßmethode ist in ...","body composition","","","","",""
