"zReHs href","LC20lb","XNo5Ab src","VuuXrf","qLRx3b","ylgVCe","LAWljd","dEEN8c href","dEEN8c","VwiC3b","VwiC3b 2","VwiC3b 3"
"https://endokrinologie.de/knochendichtemessung/","Knochendichtemessung & Body Composition","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAIAAAD9b0jDAAAB90lEQVR4Ae2VA4xeQRSFTx3WQR3Utm2EtW3btm17bdu2bdvG7Mna3vC/z4Nv5vJBtIFIoI0SV1dXfX19IyOjVoPu2bN77do1t2/fmjRp4o8fP1oB+vHjR+JaWf2DBw9Q97CwMAMDcyFeitw9It+3+dDQpN85hd5v37znZuPi4kqhqRBhEBH3mwP1iVOQc4VH1IXsrML58+fRlLZ2LkJIFQSg0BXCEMLuetOgaTnxjyzww77vPzvwndtUUFCgr7x8QkReKIkF0ii8BRFo3wSolMe984a9bxggOMGmpIXcly9fcMvkiuyYrLPI34bC44uaAF2lOojnbeM15S10FN3F/RLNz/RnF7NGIB9oLDQrP6vLr+4j/w/95fyNn5V3yjglnZ+ZeropAM8CD4/GQvFmCN5Nfm/zr6SFiUQco5VofpZAg4CgxkMpeDAbj1as/1PqXxKZo1RflIn1068aGGuGDvlJKY2FHpR6jqubcHJ9YGwMP+mfaol/BlteYo3c0M1NcBRZOLANx890PHqNKtOONGiJixi2O1e929jt0gHsddW0bVrw35FVxebL2PYES598V3Unmvsll1D0fTex+7PrW380J02vfNcmEct+7LhuSGiJu9iOKTI796s3v6DYuEdM26/Gk1B6v8QC3HjrFOmwYpH8+CTQBqUID2FkLV0aGCUAAAAASUVORK5CYII=","Klinik für Endokrinologie, Diabetologie und Stoffwechsel","https://endokrinologie.de","› knoch...","·","https://endokrinologie.de/knochendichtemessung/","Traduire cette page","Die Bestimmung der  mittels  ist aus Strahlenschutzgründen nur im Rahmen einer –Messung bei V.a. Osteoporose möglich. Eine genaue ...","Body Composition","DXA"
"https://hormone-nbg.de/body-composition/","Body Composition - Praxis für Endokrinologie - hormone-nbg.de","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAABBVBMVEX+/v7////7/v7u+v3J8vSK5elY3eI82d9F3uNc4+eK6+6+9Pbk+vzZ+Ppt4ucP1NwKx9Kp8PMLyNQAtsILxdKV6/MAuMdqwsqX1NmA0NU2v8kKw9OZ4OcJwdNk2+dL1+UazeC97/gIvNNd2utH0OUIutRw2uoAyOSP4/JHxt4Ht9QHtdRGvNCi5fIApsKe0tx/2esAm7hA0Oo4wuAGstRcu81yzueu3+wAtdsFrtVzvM7N7vgFq9VRtdE/pL8OmL5ptMt/2fMEqdXT5+xDvuAEptUDpNYntOADotY7qtAAj8mr1eW25fgCn9YAls5kx+wBndYAnNeFyumSw9hVocIAh8OnzN6NZ4nhAAABsElEQVR4AUTOAxbEMBAA0AbrYGvbuP/54tdfd+h5AMhTgha4uRjCj+fr9Xp/vj8CgWeDCgCU8b/B+dsnpsLmkI+LSQFnxFbqy+dhGEZOEDDV0gXjJM3yIilLF1aNJaAgIp+wKq06IXYh3YA2bYNB3NVakrqZSq/+dj3qhloeQ4JsUNWhsR6kCTWDJtPuSjrNyoCW2Vg3aIOE9vshnReZDmvH/UZFU2SR4CAQRFHo2mZOMO4SwZ3B3f3+R0kBsdf2ZdeF5f73F7vt3/bAsH/cYYsKz/7nkwfqVdiKK7/wIDEgL/qgsKK6p3hV0zS0mqYKG5rsFVQapxuCqskUXmdMEV7VvfJvWfqdjBZLzVyxLUcH11SVV0Ux5m4uvRVb9wmA63lmIMuqiUnIUG64YDsEFFkOwiu2TxnRgu0TNw6jG5KUUBAnMyltxFFyS5bjJxTlTEoXUYkk5YkqBSyhbsqmSTZG1DQlqpWqype/NeK2bZsO6raqMjuaDaqeLMMmRYJBUhRdVA153iJZ1sM6FWyjLMuqHnzfp6GrxtGe4DJPgkk2+PQCGP0E5DrsuV79TYYcAUc1amm2CIhcAAAAAElFTkSuQmCC","hormone-nbg.de","https://hormone-nbg.de","› body-c...","·","https://hormone-nbg.de/body-composition/","Traduire cette page","Die von uns verwendete -Methode (Norland XR 36) wird in  nur von wenigen Zentren eingesetzt. Es handelt sich um den weltweit ...","DXA","Deutschland"
"","","","","","","","","","","",""
"https://orthopaedie-em-veedel.de/koerperzusammensetzungsanalyse/","Körperzusammensetzungsanalyse in Köln Lindenthal","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAMAAABF0y+mAAAARVBMVEVHcEx7hHlISElKSkpKSkpLS0tJSUlJSUlJSUlLS0tJSUlOTk5JSUlJSUlKSkqmuaGluJ+nuqGmuaBcYFufsZmXqJOerprUyeYeAAAAF3RSTlMAC0dsh1vZ//I8yRyXqnrUxvzd0SkoGQ4+KY8AAADXSURBVHgBjdMFksMwEETRL2yjwrn/TZdUmllOusDwjFILT4gp5xQDP1OqpGmSVMs3mictJQCEskgRPFnLimVdtGHZ1fiSpH3sRtu1bLIXN+Vvd9pzD4Gm9sOOAOV0cnU7nwpQl3fNrqXbpQIqdE1f7BoVmLUSTN0IiiSBqxuo0cTQTSVqH8aUO5qadUxiKOxuoPbxQa5uBEVQwfTdbva7AepCD/fT+WDGUoGi1dVt7U+cKqZX7Eb1iqjxI0lxlKR8t6jtcU36vfXPgn2v5jQ/VWpLmL8vh1f9zQqVwYVqUgAAAABJRU5ErkJggg==","Orthopädie em Veedel","https://orthopaedie-em-veedel.de","› ...","·","https://orthopaedie-em-veedel.de/koerperzusammensetzungsanalyse/","Traduire cette page","Körperfettanteil:  und kann Fett in verschiedenen Körperregionen (z.B. Bauch, Oberschenkel, ...","DEXA liefert eine präzise Schätzung des gesamten Körperfettanteils",""
"https://www.sport-longevity.de/artikel/dexa-koerperfettmessung-muenchen-und-deutschland/","DEXA Körperfettmessung München -","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAMAAABEpIrGAAAAq1BMVEVHcEzGjTzkq1H0xG/1xW76x2z6z334z3/vz4vvzohcPhvWm0Pqq07wtljbp1SygTZoJgXdtm7txXjv05P74qH54aXKolbgoUfrrlHXnEPcrFvrwXP96a3136WnaCLeokjvvGX44KAAAADjo0j2vmHbmUDcoknKiDXho0jywWrywmv35LDTlD7qxXv/3JLUkjvdn0bes2rmqk/QizXEiDbMijWybyTSjznHhDFrw4dFAAAAOXRSTlMAPqLa+f//78NpCV7//1UiFkuL4v+2EubwSkF2/3MvjbikA////2+d0aTrh4OX/+O5LuL+dc9e8rN8+aiVAAABX0lEQVR4Ab3RA7bsQBRA0dOI3TYKbXv+E3us5NvYC9GJbvGflcqVqmU7rufzNUEYleMkTbJavdFs8bm03elCr1+rZZC4gyGfGoVj/IlVrTiNKUCp0aQgIJUBI1VJoDd4C0hNYegZRFWAzASkA4/CfAEltXwLGiYQ2UBg+DKBQK3ywKivMTYLEElkbYFsZwJBNsDYBwAHZVV6FAHQOPJOt3gvXpKjtyTnmmGkOh/1SVl2n8L2/WFiZAIBQVQUAvpmFHmAAHGybB/DBOYVhh9ZfVPnr4DzEbiYoGwtMdx8ltcNMC8B0B2r/lsI2IkJbhqYyxbAohMlAGWIHXLnGOZaluNZOwwPAMESVn346BHiNr/e79dDeCj14rKKmVlQuC6KPa21lDL0E3XkI+dDPgojiWZ8zL+3W3wkMNcLgoce+xSLEpb4wuiqF+Og252VpdzwJSFIL4/9y4/MS/yA4G96Bs8qHtfUTX14AAAAAElFTkSuQmCC","sport-longevity.de","https://www.sport-longevity.de","› ...","·","https://www.sport-longevity.de/artikel/dexa-koerperfettmessung-muenchen-und-deutschland/","Traduire cette page","Warum gibt es keine  Körperfettmessung in München und ? Wir erklären dir warum das so ist.","DEXA","Deutschland"
"","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAgCAIAAAD8GO2jAAAEMklEQVRIie1WbWxTVRh+z729H73t1pV1u53o3CSmkTmMHwiy4RJn9A92yOYUQWJi4qKyMAkGdGwY/cGiGGKM/vALFQqhA/ZJVzfEjJAZiSYYJzgYpXXrNjIZbF1ve79af5zbdmu7jYQsxsTz5573uSfP8z7nPfc9F+2wbYXFHMSisv8v8K8KoMUWiGpPXRwRr4WjShQACI6kzXQcl25KkaAKAEAi1srOw6kIinJDxnPGyiISJQTEv8VXjr+OCIQINHJpuPOtVpZnMbv9g8rcAj4SiUTUyJdPfsrZDOnZg8qKjQ+ttK9SZZXhGOc7h6f+uolIlHAQmJgqrSoDgOLHHzj7Va8wHiR0BEETQ/2+8i1P4TWP1a/95ZufKSOVKhAcnt7YuJk16gHg+sj10dPDRlsGxGtAL6Gbaxzx1S/seyl0RQAAHafr+7D3xtgExtfVrhf8wVR2eUouf/9pzA4Ah3d/q8/X5poAIlA0Gv3hu24cFpUU55TyETkCAIY7ja0fHcN4Fm9eWbtaEZQkAWE0+Ezts3g+5hntP3Ce1OtmCQAAbWFatzbHq1/dtCnkEQBAZ6B+2ndmcnwS4/btlcLQLBNyQC5rKOdMWm2OvnvIcLcx/jYhgAiEKOg+0JUwURIzsdTYtl8zwRdYi7asUMNqIv2RYMWblXjuvzx84eDvJEumEcAm2muORdRIsgkjdXbvj4GJAMbX76wSfJoJeVpeW/+E0ZyBQ+cex8z0kwUQQoSJ7P7apZkoTVSCu8PY/vEJjOcvLyi0L1NFFQAEf7CibgPGhy76Bo5cmJl+sgAAMNlM+6vHVVnbgeq9mgkqg+p971RwUkt8Q8PzYW9ImZZLdpVlWkwYPLrHwRUkfyUprQIBlUO5v+hMmIhVgsszdH7SgvF7H7HxZXkB/5S9Ttt9b//VweYBkiGT+NL0ItrMdLxxQhG1j/65phdDnhAAUJnU6YbvQ4EQxisaqx6uWW3mzTh0NqZJHwDINZZHU00gEqmcalt1HwDk5vPnTvWJkyIiEUERIikuL70fAKyFefc8uIzL5ADA89vgyboWltenCqTvpnQW7drWJoUkHFY3bdZMmOieXS4xGMZ49lKLln6DgytM36PmaNcIGJ49+VkbjopKiy1rcnAlWF7f9XnnzLWXf73k67hK0Mm7P68AAJ1Fu3d0hGPJbtr/sjgWBgDaRLu3t0thKb7SudvBFXJz8cx34eit+o7YsTGYDFExqpnL1btjJgbOXfS7fXOlv4AAZaJ73naFAgIAHKk/yNzFxs11bWtTJAUAnPUO/Ry7j0e6UzTzNU2GifCSvOyW15yJQ4IACNBZdIBQz04XwzO3IcCQ3jMe759XJFHCV6CGszpP36C33yMpEiLQPAwLX/pUJjV2fpSgZq9EAADjf1wjdAsw3NJfRTJ7TGNB9lsVuJ3x3xf4B2lWhCh2qUfjAAAAAElFTkSuQmCC","","","","","","","","",""
"https://endokrinologie.de/body-composition/","Body Composition","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAIAAAD9b0jDAAAB90lEQVR4Ae2VA4xeQRSFTx3WQR3Utm2EtW3btm17bdu2bdvG7Mna3vC/z4Nv5vJBtIFIoI0SV1dXfX19IyOjVoPu2bN77do1t2/fmjRp4o8fP1oB+vHjR+JaWf2DBw9Q97CwMAMDcyFeitw9It+3+dDQpN85hd5v37znZuPi4kqhqRBhEBH3mwP1iVOQc4VH1IXsrML58+fRlLZ2LkJIFQSg0BXCEMLuetOgaTnxjyzww77vPzvwndtUUFCgr7x8QkReKIkF0ii8BRFo3wSolMe984a9bxggOMGmpIXcly9fcMvkiuyYrLPI34bC44uaAF2lOojnbeM15S10FN3F/RLNz/RnF7NGIB9oLDQrP6vLr+4j/w/95fyNn5V3yjglnZ+ZeropAM8CD4/GQvFmCN5Nfm/zr6SFiUQco5VofpZAg4CgxkMpeDAbj1as/1PqXxKZo1RflIn1068aGGuGDvlJKY2FHpR6jqubcHJ9YGwMP+mfaol/BlteYo3c0M1NcBRZOLANx890PHqNKtOONGiJixi2O1e929jt0gHsddW0bVrw35FVxebL2PYES598V3Unmvsll1D0fTex+7PrW380J02vfNcmEct+7LhuSGiJu9iOKTI796s3v6DYuEdM26/Gk1B6v8QC3HjrFOmwYpH8+CTQBqUID2FkLV0aGCUAAAAASUVORK5CYII=","Klinik für Endokrinologie, Diabetologie und Stoffwechsel","https://endokrinologie.de","› body-...","·","https://endokrinologie.de/body-composition/","Traduire cette page","Die Bestimmung der  mittels  ist aus Strahlenschutzgründen nur im Rahmen einer –Messung bei V.a. Osteoporose möglich. Eine genaue ...","Body Composition","DXA"
"https://en.fairnatural.de/pages/koerperfett-messen-lassen#:~:text=The%20advantage%20of%20DEXA%20measurement,expensive%20at%2050%2D70%20euros.","Lassen Sie Ihren Körperfettanteil messen – Fairnatural®","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAABZElEQVR4AWJwL/AB9EkGHhFEQRi37SJASIp2ESAHIlICCAGIKEJBgiQohL2/oZJSAOzqP+gkOIBQHAWRSyhUQuRu7/e8eczydvH5Zud938zM21eJZp4EwlNgXucc6gtkSWQ4zeIL4kefpq57JLwBijSPC3hJCoe1BRAOCa8aI/iWIpk+9xZA5PbeZnRj2iO+g5/BG7kJu5a9C29nhAfScRMEjPwBb5F7BWtWG4eGtTl0nWXsFdl3ka49eIyzW4ynUiAyXBob4ThxH+G+Winl+0WKn4GW9rjf5brvgvfyWnGH3LnVxcfEbX3uurj/fULcVuYZuYs5aXBJrqXvqzQBBXYQfMLD8n0NHtQ6XbRN61F3gCkQHqHyPzjE2IALsCDmI+K+uSf9pH2PZx3RF/wL34PZNE+u4MKcVT4kBIGKO6Y73AV/FHhi9GVZV8zVL/EG8w/GaXgUTMqZMtcUkCfc0DmvWTAA4YVbu8klBHQAAAAASUVORK5CYII=","Fairnatural","https://en.fairnatural.de","› koerperfett-messen-lassen","","","","","",""
"https://www.seca.com/de_de/produkte/body-composition-analysis/klinische-studien.html","Produkte » Body Composition Analysis » Klinische Studien","","seca","https://www.seca.com","› de_de › kli...","·","https://www.seca.com/de_de/produkte/body-composition-analysis/klinische-studien.html","Traduire cette page","Zudem wurde die Genauigkeit der -Methode zur Bestimmung der Skelettmuskelmasse überprüft. Hier wurde bewiesen, dass die MRT-basierten Messergebnisse des seca ...","DXA",""
"https://www.endokrinologie-im-zentrum.de/knochendichtenmessung","Endokrinologie im Zentrum - Knochendichtemessung","","endokrinologie-im-zentrum.de","https://www.endokrinologie-im-zentrum.de","› ...","·","https://www.endokrinologie-im-zentrum.de/knochendichtenmessung","Traduire cette page","Die Messung der Knochendichte führen wir mit einer -Methode (Lunar (GE), Prodigy) durch. Dabei wird sowohl die Wirbelsäule als auch beide Schenkelhälse ...","DXA",""
